entity,code,year,schizophrenia,bipolar_disorder,eating_disorders,anxiety_disorders,drug_use_disorders,depression,alcohol_use_disorders
United States,USA,1990,0.340897130805,0.653706354544,0.468675697361,6.57688398803,2.36779352184,4.67759131004999,2.17375113273
United States,USA,1991,0.338912932757,0.653952868228,0.473574623298999,6.55335136759,2.34546598777,4.66087073856,2.13929170237
United States,USA,1992,0.337343245518,0.654205433873,0.478610173291,6.53614303164,2.33951505195,4.65194938619,2.10793120134
United States,USA,1993,0.336206732962,0.654430518652,0.483538576385,6.52553639705,2.3470952944,4.64870140665,2.08066930672
United States,USA,1994,0.335536003177,0.654620047979,0.488234701946,6.5222784889,2.36573754993,4.6492942327,2.05863190478
United States,USA,1995,0.335363145274,0.654720568935,0.492367976615,6.5264893117,2.39258183823,4.6508686226,2.04293060381
United States,USA,1996,0.335805547331999,0.654749283267,0.496751592261,6.57802328458999,2.45604818498999,4.66290150595,2.03398665199
United States,USA,1997,0.336796556804,0.65471959904,0.501560066334,6.68884666134999,2.56459143129,4.68915354406,2.0305895976
United States,USA,1998,0.33808544451,0.65465796487,0.506483368783,6.81847266716,2.68882333539,4.72071556335,2.03117622326999
United States,USA,1999,0.339410333931,0.654564279852,0.511072002003,6.92635076423,2.8005954919,4.74999125097,2.03417509011999
United States,USA,2000,0.340512027243,0.654442657809,0.514863256992,6.97156282859,2.86942571952,4.76699163227,2.03802638815
United States,USA,2001,0.341185821283,0.654371354652,0.51830637081,6.97199529904,2.90560487752,4.77403077796,2.04357706574
United States,USA,2002,0.341483478377,0.654349043599,0.522170419195999,6.97189083455,2.93610867868,4.77824435694999,2.05147957512
United States,USA,2003,0.341535319575,0.654343192712,0.526129901645999,6.97093506697999,2.96264009425999,4.78168002231,2.05981459142
United States,USA,2004,0.341472402076999,0.654313236879,0.529331562156,6.96887525839,2.98341434264999,4.78523150752,2.06670617391
United States,USA,2005,0.341427425725,0.654227674746,0.531157339687,6.96524863035,2.99877119571,4.7912576834,2.0702511947
United States,USA,2006,0.34103080892,0.654080048891,0.532177512771,6.9370379217,3.00082606211,4.79321272313,2.06349750156
United States,USA,2007,0.340068505619,0.653895503627,0.533067282696,6.87545381018,2.98914072798,4.78662271325,2.04562375796999
United States,USA,2008,0.338901482273,0.653690930832,0.533767669776,6.80189918349,2.97433615406,4.77640214403,2.0239354153
United States,USA,2009,0.33788738797,0.653467969151,0.534175401334,6.73778993153,2.96680769355,4.76595011348,2.00574922528999
United States,USA,2010,0.337390379071,0.653247274664,0.534076314349,6.70445541333,2.97714383032,4.76155071613999,1.99843735405999
United States,USA,2011,0.337189991649999,0.653008107225,0.533198639834,6.69338437174,3.00704852622999,4.76232229528,1.99956926593
United States,USA,2012,0.336852385386,0.652747751955,0.531513877964999,6.68210701819,3.05234043828,4.76548079062,2.00195083784
United States,USA,2013,0.336403858628,0.652479107071,0.52894571362,6.6710474178,3.11071187876999,4.7724221248,2.00581427099
United States,USA,2014,0.335859825589,0.652194834052999,0.525990365197,6.66047266105,3.18111517973,4.78222184713,2.01134506373
United States,USA,2015,0.335242534432,0.651889538235999,0.522108934524,6.65066204266,3.26267388809,4.79595391935,2.01873831093
United States,USA,2016,0.334578489245,0.651569278144,0.517728286809,6.64209915313,3.35314160952,4.81311421203999,2.02826285677
United States,USA,2017,0.333889942363,0.651235501508,0.512844329383,6.63505503544,3.45247568009,4.83561040879,2.04008689286
